Set_Number,Start_Code_Point,End_Code_Point,Script_Name,Author,Status,Description,Flags
1,U+F1D00,U+F1EFF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+F26B0,U+F26FF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+F28E0,U+F28FF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+F2960,U+F29FF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+F3400,U+F4FFF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+F50F0,U+F7FFF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+F81B0,U+F8FFF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+FA000,U+FAFFF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+FC000,U+FDFFF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+FF200,U+FF27F,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+FF2A0,U+FF2BF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+FF700,U+FF9FF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+FFE00,U+FFEFF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+100000,U+10FFEF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
